"representante","situacao_rep","cod_rep","modelo_venda"
Representante 402,A,"25396",Canal
Representante 403,A,"25400",Canal
Representante 404,A,"25796",Canal
Representante 405,A,"21090",Canal
Representante 406,A,"21243",Canal
Representante 407,A,"22400",Canal
Representante 408,A,"1517",Direto
Representante 409,A,"1758",Canal
Representante 410,A,"1518",Direto
Representante 411,A,"1520",Direto
Representante 412,A,"1521",Direto
Representante 413,A,"24273",Canal
Representante 414,A,"24363",Canal
Representante 415,A,"24991",Direto
Representante 416,A,"4030",Canal
Representante 417,A,"4031",Direto
Representante 418,A,"4032",Direto
Representante 419,A,"25797",Canal
Representante 420,A,"25848",Canal
Representante 421,A,"25923",Canal
Representante 422,A,"25924",Canal
Representante 423,A,"25925",Canal
Representante 424,A,"608",Parceiros
Representante 425,A,"609",Parceiros
Representante 426,A,"27146",Canal
Representante 427,A,"27564",Canal
Representante 428,A,"728286",Canal
Representante 429,A,"28563",Canal
Representante 430,A,"728288",Canal
Representante 431,A,"728290",Canal
Representante 432,A,"28946",Canal
Representante 433,A,"728292",Parceiros
Representante 434,A,"728293",Canal
Representante 435,A,"728295",Parceiros
Representante 436,A,"728294",Parceiros
Representante 437,A,"29349",Canal
Representante 438,A,"29729",Canal
Representante 439,A,"29948",Canal
Representante 440,A,"728309",Parceiros
Representante 441,A,"181212",Canal
Representante 442,A,"27139",Canal
Representante 443,A,"27561",Canal
Representante 444,A,"27597",Canal
Representante 445,A,"728280",Canal
Representante 446,A,"728282",Canal
Representante 447,A,"27684",Canal
Representante 448,A,"27821",Canal
Representante 449,A,"27835",Canal
Representante 450,A,"28354",Canal
Representante 451,A,"728291",Canal
Representante 452,A,"28980",Canal
Representante 453,A,"29095",Canal
Representante 454,A,"29207",Canal
Representante 455,A,"29302",Canal
Representante 456,A,"29303",Canal
Representante 457,A,"29322",Canal
Representante 458,A,"5112",Direto
Representante 459,A,"5112",Direto
Representante 460,A,"5112",Direto
Representante 461,A,"5112",Direto
Representante 462,A,"5112",Direto
Representante 463,A,"29663",Canal
Representante 464,A,"29911",Canal
Representante 465,A,"28772",Canal
Representante 466,A,"28962",Canal
Representante 467,A,"29137",Canal
Representante 468,A,"29155",Canal
Representante 469,I,"29369",Canal
Representante 470,A,"29697",Canal
Representante 471,A,"29861",Canal
Representante 472,A,"29862",Canal
Representante 473,A,"29863",Canal
Representante 474,A,"29864",Canal
Representante 475,A,"26932",Canal
Representante 476,A,"181213",Parceiros
Representante 477,A,"1762",Canal
Representante 478,A,"728275",Canal
Representante 479,A,"27560",Canal
Representante 480,I,"27592",Canal
Representante 481,A,"27628",Canal
Representante 482,A,"728279",Canal
Representante 483,A,"20829",Canal
Representante 484,A,"28039",Canal
Representante 485,A,"4033",Parceiros
Representante 486,A,"28703",Canal
Representante 487,A,"728296",Canal
Representante 488,A,"728297",Canal
Representante 489,A,"728298",Parceiros
Representante 490,A,"728299",Canal
Representante 491,A,"728301",Canal
Representante 492,A,"29865",Canal
Representante 493,A,"29866",Canal
Representante 494,A,"728277",Canal
Representante 495,I,"27664",Canal
Representante 496,A,"27829",Canal
Representante 497,A,"728281",Canal
Representante 498,A,"27919",Canal
Representante 499,A,"5109",Direto
Representante 500,A,"1531",Direto
Representante 501,A,"29206",Canal
Representante 502,A,"1533",Direto
Representante 503,A,"29474",Canal
Representante 504,A,"29602",Canal
Representante 505,A,"29746",Canal
Representante 506,A,"29836",Canal
Representante 507,A,"29839",Canal
Representante 508,A,"29840",Canal
Representante 509,A,"29842",Canal
Representante 510,A,"29844",Canal
Representante 511,A,"29867",Canal
Representante 512,A,"728306",Parceiros
Representante 513,A,"728307",Parceiros
Representante 514,A,"728308",Parceiros
Representante 515,A,"181211",Canal
Representante 516,A,"728276",Canal
